"site_name","directions","quadrant","fetch"
"Danvers Danger Rock",180,"South",422.992329574821
"Danvers Danger Rock",190,"South",504.171044122323
"Danvers Danger Rock",200,"South",952.847720075501
"Danvers Danger Rock",210,"South",1469.70581878755
"Danvers Danger Rock",220,"South",5562.88398872886
"Danvers Danger Rock",230,"West",60000.2067138106
"Danvers Danger Rock",240,"West",5920.792437941
"Danvers Danger Rock",250,"West",60000.2251719109
"Danvers Danger Rock",260,"West",4994.91247083177
"Danvers Danger Rock",270,"West",4162.12428510049
"Danvers Danger Rock",280,"West",2894.46592281261
"Danvers Danger Rock",290,"West",2364.13433268967
"Danvers Danger Rock",300,"West",2365.20673116715
"Danvers Danger Rock",310,"West",2432.82404885719
"Danvers Danger Rock",320,"North",2423.62471432766
"Danvers Danger Rock",330,"North",2144.92523704732
"Danvers Danger Rock",340,"North",2183.41249234354
"Danvers Danger Rock",350,"North",2222.54509582447
"Dixon Island Back (Bay)",0,"North",4197.26264049216
"Dixon Island Back (Bay)",10,"North",4535.50394487666
"Dixon Island Back (Bay)",20,"North",5026.30475283365
"Dixon Island Back (Bay)",30,"North",13973.6780330133
"Dixon Island Back (Bay)",40,"North",1285.45866034598
"Dixon Island Back (Bay)",50,"East",1017.56384115879
"Dixon Island Back (Bay)",60,"East",612.829750212005
"Dixon Island Back (Bay)",70,"East",530.469777007229
"Dixon Island Back (Bay)",80,"East",468.858207123651
"Dixon Island Back (Bay)",90,"East",438.465256908908
"Dixon Island Back (Bay)",100,"East",529.922553004547
"Dixon Island Back (Bay)",110,"East",379.76174517295
"Dixon Island Back (Bay)",120,"East",410.160918996394
"Dixon Island Back (Bay)",130,"East",472.37041394547
"Dixon Island Back (Bay)",140,"South",313.130893189935
"Dixon Island Back (Bay)",150,"South",297.355161011802
"Dixon Island Back (Bay)",160,"South",283.003554640911
"Dixon Island Back (Bay)",170,"South",299.165554192722
"Dixon Island Back (Bay)",180,"South",326.90674244921
"Dixon Island Back (Bay)",190,"South",9.59696655303291
"Dixon Island Back (Bay)",200,"South",7.38957408121165
"Dixon Island Back (Bay)",210,"South",6.63093244845907
"Dixon Island Back (Bay)",220,"South",6.18395980949608
"Dixon Island Back (Bay)",230,"West",5.96318360146259
"Dixon Island Back (Bay)",240,"West",5.93164469249175
"Dixon Island Back (Bay)",250,"West",6.08433076150527
"Dixon Island Back (Bay)",260,"West",6.44611913738705
"Dixon Island Back (Bay)",270,"West",7.08245108695701
"Dixon Island Back (Bay)",280,"West",8.13233114591154
"Dixon Island Back (Bay)",290,"West",13.7760276857145
"Dixon Island Back (Bay)",300,"West",3890.16736987168
"Dixon Island Back (Bay)",310,"West",3533.28259079609
"Dixon Island Back (Bay)",320,"North",3521.91267367042
"Dixon Island Back (Bay)",330,"North",3557.42146063576
"Dixon Island Back (Bay)",340,"North",3296.67844671285
"Dixon Island Back (Bay)",350,"North",3236.41369556478
"Dodger Channel 1",0,"North",536.87841322203
"Dodger Channel 1",10,"North",517.184308560729
"Dodger Channel 1",20,"North",441.260837472105
"Dodger Channel 1",30,"North",387.754250735619
"Dodger Channel 1",40,"North",294.685658879906
"Dodger Channel 1",50,"East",68.2026623837507
"Dodger Channel 1",60,"East",52.1972426210885
"Dodger Channel 1",70,"East",27.2777173705292
"Dodger Channel 1",80,"East",22.0625706460768
"Dodger Channel 1",90,"East",19.0062941215001
"Dodger Channel 1",100,"East",18.4927680640847
"Dodger Channel 1",110,"East",18.8794926702408
"Dodger Channel 1",120,"East",23.5277723740742
"Dodger Channel 1",130,"East",32.9299792283109
"Dodger Channel 1",140,"South",2230.61639101183
"Dodger Channel 1",150,"South",2241.4667694141
"Dodger Channel 1",160,"South",2474.77439976577
"Dodger Channel 1",170,"South",3450.08089519816
"Dodger Channel 1",180,"South",3704.69218350617
"Dodger Channel 1",190,"South",3668.55885598351
